index,Unnamed: 0,sentence,label
78,78,Regulation of hairy and enhancer of split homologue-1 (@GENE$) by estradiol and all-trans retinoic acid affects proliferation of human @DISEASE$ cells.,1
100,100,"In this study, the G2677T/A polymorphism observed in the @GENE$ gene was not found to be a risk factor for Crohn's disease or @DISEASE$.",0
5,5,"To study the (functional) relevance of single nucleotide polymorphisms (SNPs) in genes encoding matrix metalloproteinases (MMP)-1, -2, -3, -9, tissue inhibitors of metalloproteinases (TIMP)-1, -2 and tumor necrosis factor (@GENE$ in the etiopathogenesis of @DISEASE$ (IBD), that may enhance susceptibility and/or disease severity.",0
247,247,"We genotyped the four single-nucleotide polymorphisms (rs706778, rs3118470, ss52580101, and @GENE$) of the IL2RA in 885 patients with @DISEASE$ and 606 control subjects of Japanese origin.",0
216,216,Our objective was to determine whether variants in the @GENE$ gene are associated with @DISEASE$ in the Japanese population.,1
345,345,"For men, G allele frequency of @GENE$ and frequency of the T-C-G haplotype were significantly higher, and frequency of the T-C-A haplotype was significantly lower for @DISEASE$ patients than for controls (P=0.006, P=0.001 and P=0.002, respectively).",1
183,183,These results strongly suggest that the g.-247C/T polymorphism in the @GENE$ promoter region is associated with the risk of @DISEASE$.,1
10,10,This study examined whether the @GENE$ polymorphism in ENPP1 or the rs7566605 genotype is associated with the clinical course of @DISEASE$.,1
198,198,"Genetic, epidemiological and biological analysis of @GENE$ suggests a definitive role for -819C/T in @DISEASE$ susceptibility.",1
285,285,"Individual LOXL1 SNPs, @GENE$, rs3825942, and rs2165241, were not associated with @DISEASE$ in the Chinese population.",1
67,67,Multiple studies have now established the contribution of the interleukin 23 receptor gene (IL23R) to Crohn's disease (@DISEASE$) risk in general and of the @GENE$ variant in particular.,1
254,254,Genetic variations in @GENE$ were identified and genotyped in 295 unrelated patients with @DISEASE$ and 180 control subjects.,1
296,296,Amyloid beta protein (@GENE$) levels are elevated in the brain of @DISEASE$ patients.,1
127,127,The result supports that the @GENE$ gene is a susceptibility gene for @DISEASE$.,1
256,256,"Here, we combined a case-control study (374 patients and 380 controls), with meta-analysis (5 studies; 2702 individuals) and biological study to test the epidemiological and physiological relevance of the interleukin-10 (@GENE$) genetic markers in @DISEASE$.",1
305,305,@GENE$ (Abeta) levels are elevated in the brain of @DISEASE$ patients.,1
276,276,A recent study demonstrated the association of @GENE$ located in the upstream region with risk for or protection from systemic lupus erythematosus (@DISEASE$).,1
160,160,"The @GENE$ in women and T in men at SNP +372 T/C was found to increase CD susceptibility (39% vs 23.8%, P = 0.018 and 67.9% vs 51.6%, P = 0.055, respectively), while women with this genotype were less prone to development of @DISEASE$ during follow-up (41.4% vs 68.3%, P = 0.025).",1
156,156,Estrogen-dependent downregulation of @GENE$ gene expression in @DISEASE$ cells is mediated via a 3' distal element.,0
315,315,Ala394Thr polymorphism in the clock gene @GENE$: a circadian modifier for the risk of @DISEASE$.,1
271,271,These results suggest that the @GENE$ region is also implicated in the susceptibility of more common inflammatory diseases such as @DISEASE$.,1
42,42,"Male @GENE$ SerSer carriers demonstrate particularly high @DISEASE$, possibly implying a status of increased cardiovascular risk.",1
175,175,The commonly deleted region of the @DISEASE$ extends between the genes @GENE$ (proximal boundary) and GLRA1 (distal boundary) and measures 2.9 Mb.,1
50,50,"In the independent trio samples, @GENE$ and rs677221-G consistently showed significant under-transmission to @DISEASE$ offspring (unadjusted p = .003 and p = .004, respectively).",1
317,317,"In this study, the @GENE$ polymorphism observed in the MDR1 gene was not found to be a risk factor for @DISEASE$ or ulcerative colitis.",1
11,11,"Recently an association was shown between the single nucleotide polymorphism (SNP), @GENE$, within the interleukin-23 receptor (IL23R) locus and @DISEASE$ (CD) as a consequence of a genome-wide association study of this disease in adults.",1
83,83,Our results show that the @GENE$ polymorphism underlies variation in subcutaneous @DISEASE$ in young adult women and suppresses the positive effects of resistance training on men.,1
113,113,The K121Q polymorphism in the ectonucleotide pyrophosphatase/phosphodiesterase (ENPP)-1 gene and the @GENE$ genotype located near insulin-induced gene 2 have been shown to be associated with insulin resistance and @DISEASE$.,1
304,304,"In contrast, the @GENE$ genotype was not associated with @DISEASE$ viremia or with the HCV core antigen level.",0
84,84,"To summarise, we detected an increased HCC risk in rs4646421 variant carriers (OR 1.30, 95% CI 1.05-1.61) and @GENE$ variant carriers (OR 1.33, 95% CI 1.05-1.69), and a reduced risk of @DISEASE$ (OR 0.70. 95% CI 0.52-0.94) associated with homozygote carriers of rs4886605 variant.",1
129,129,"In @DISEASE$ patients, TLR-induced @GENE$ secretion was impaired by both NOD2-dependent and -independent mechanisms.",0
87,87,The K121Q polymorphism in the ectonucleotide pyrophosphatase/phosphodiesterase (@GENE$ gene and the rs7566605 genotype located near insulin-induced gene 2 have been shown to be associated with @DISEASE$ and obesity.,0
283,283,Polymorphisms in the regulatory region of the @GENE$ gene influence the susceptibility for HIV-1 @DISEASE$.,1
190,190,Multiple studies have now established the contribution of the interleukin 23 receptor gene (@GENE$) to @DISEASE$ (CD) risk in general and of the IL23R R381Q variant in particular.,1
229,229,"The synonymous variant @GENE$ (TaqI) appeared to be associated with protection from @DISEASE$ (OR = 0.80, 95%CI = 0.64-0.99; p = 0.047).",1
