index,Unnamed: 0,sentence,label
131,131,"However, @GENE$ was only expressed in 55% of patients with @DISEASE$.",1
302,302,The rs42524 polymorphism of @GENE$ could be a genetic risk factor for sporadic @DISEASE$ among individuals of Chinese Han ethnicity.,0
124,124,"In the haplotype-transmission disequilibrium test (TDT) for allelic combination of rs1937970-rs677221, significant under-transmission for @GENE$ (uncorrected p = .006) and over-transmission for haplotype GC (uncorrected p = .004) to the affected @DISEASE$ offspring were observed.",1
63,63,"To study the (functional) relevance of single nucleotide polymorphisms (SNPs) in genes encoding matrix metalloproteinases (MMP)-1, -2, -3, -9, @GENE$ (TIMP)-1, -2 and tumor necrosis factor (TNF)-alpha in the etiopathogenesis of @DISEASE$ (IBD), that may enhance susceptibility and/or disease severity.",0
170,170,The association of @GENE$ with @DISEASE$ was replicated in all the sets except Spain.,1
91,91,"Similarly, @GENE$ (AA) reduced the risk of cervical or @DISEASE$.",1
69,69,"Lack of association between PKLR rs3020781 and @GENE$ and type 2 diabetes, overweight, @DISEASE$ and related metabolic phenotypes in a Danish large-scale study: case-control studies and analyses of quantitative traits.",0
327,327,"IL-1, IL-1R and @GENE$ in Iranian patients with @DISEASE$.",1
206,206,"On the other hand, AA genome and A allele polymorphism in the @GENE$ gene nucleotide pair G-A 61 is a significant risk factor for @DISEASE$.",1
101,101,The @GENE$ polymorphism in the ectonucleotide pyrophosphatase/phosphodiesterase (ENPP)-1 gene and the rs7566605 genotype located near insulin-induced gene 2 have been shown to be associated with @DISEASE$ and obesity.,1
339,339,"On multivariate analysis the @GENE$ (OR 8.205, 95% CI 1.616-41.667, p = 0.011) and smaller number of treatment cycles (OR 0.156, 95% CI 0.037-0.659, p = 0.011) were independent factors for @DISEASE$ (grade 3 or greater) throughout the period of chemotherapy.",1
65,65,"The present study suggests that genetic variation in or near the @GENE$ gene is associated with both psychotic and manic disorders, including schizophrenia and @DISEASE$.",1
25,25,"To clarify the involvement of gene variations in the promoter region of the gene encoding @GENE$ in this mRNA reduction, we analyzed DNA polymorphisms or mutations within this gene promoter region in @DISEASE$ patients by direct sequencing.",0
211,211,"In contrast, enhanced @GENE$ expression is consistently associated with @DISEASE$.",1
81,81,"In the case-control association analysis, the g.-247C/T polymorphism at the promoter region (rs10399805; P = 0.0062) and the @GENE$ polymorphism at intron 7 (rs2275353; P = 0.0056) of CHI3L1 showed a significant association with @DISEASE$.",1
219,219,"In the haplotype-transmission disequilibrium test (TDT) for allelic combination of rs1937970-rs677221, significant under-transmission for haplotype AG (uncorrected p = .006) and over-transmission for @GENE$ (uncorrected p = .004) to the affected @DISEASE$ offspring were observed.",1
73,73,A total of 180 patients with @DISEASE$ were categorized as high IL-1RA producers if they were carriers of at least one of the rs4251961 T/T or @GENE$ genotypes (T/T carriers).,0
215,215,The @GENE$ variants was found to be irrelevant for @DISEASE$.,1
47,47,This study examined whether the K121Q polymorphism in @GENE$ or the rs7566605 genotype is associated with the clinical course of @DISEASE$.,1
220,220,An anti-inflammatory and anticarcinogenic potential has been inferred from the development of @DISEASE$ and intestinal cancer in @GENE$ and GPx2 double knockout mice.,1
287,287,VEGF was expressed in 60% and @GENE$ in 39% of @DISEASE$ specimens.,1
4,4,"Based on @GENE$ analyses, 41 @DISEASE$ patients and 12 healthy controls were studied.",0
300,300,"For the remaining markers, a susceptibility role was attributed also confirming that markers on CARD15 gene, in particular G908R and @GENE$, are involved with @DISEASE$ to the same extent as FcGIIIA G559T and TNF-alpha-G308A.",1
8,8,Association between donor @GENE$ and graft survival and the development of @DISEASE$ after lung transplantation.,1
79,79,"For the remaining markers, a susceptibility role was attributed also confirming that markers on CARD15 gene, in particular G908R and L1007fsinsC, are involved with @DISEASE$ to the same extent as @GENE$ and TNF-alpha-G308A.",1
23,23,"No significant associations were observed for @DISEASE$ (rs3020781: pAF = 0.49, OR = 1.02 [0.96-1.10]; @GENE$: pAF = 0.84, OR = 0.99 [0.93-1.06]).",1
152,152,We sought to evaluate 2 single-nucleotide polymorphisms (SNPs) in the C-reactive protein (CRP) gene promoter region for their effects on @GENE$ levels in chronic kidney disease (@DISEASE$) patients before and after a successful kidney transplantation.,1
221,221,The low frequencies of the at-risk alleles at rs1048661 and @GENE$ may be one of the factors that led to the low prevalence of @DISEASE$ in the general populations of the Chinese.,1
